resultId,raceId,driverId,constructorId,grid,positionOrder,points,laps,statusId,stop,pit_stop_lap,pit_stop_duration
20858,844,155,15,24,10,1.0,58,1,3,38,22456
20859,844,13,6,10,11,0.0,58,1,1,9,22022
20859,844,13,6,10,11,0.0,58,1,2,23,21322
20859,844,13,6,10,11,0.0,58,1,3,34,23471
20859,844,13,6,10,11,0.0,58,1,4,46,26685
20860,844,30,131,8,12,0.0,58,1,1,2,30182
20860,844,30,131,8,12,0.0,58,1,2,14,20907
20860,844,30,131,8,12,0.0,58,1,3,30,20379
20860,844,30,131,8,12,0.0,58,1,4,45,20597
20861,844,16,10,12,13,0.0,57,11,1,10,21649
20861,844,16,10,12,13,0.0,57,11,2,25,21084
20861,844,16,10,12,13,0.0,57,11,3,40,21006
20862,844,815,15,15,14,0.0,57,11,1,1,29270
20862,844,815,15,15,14,0.0,57,11,2,16,22895
20862,844,815,15,15,14,0.0,57,11,3,32,22365
20862,844,815,15,15,14,0.0,57,11,4,42,21715
20863,844,22,3,11,15,0.0,57,11,1,10,22717
20863,844,22,3,11,15,0.0,57,11,2,24,22868
20863,844,22,3,11,15,0.0,57,11,3,40,21687
20864,844,153,5,17,16,0.0,57,11,1,13,22713
20864,844,153,5,17,16,0.0,57,11,2,29,21826
20864,844,153,5,17,16,0.0,57,11,3,39,21986
20864,844,153,5,17,16,0.0,57,11,4,55,21931
20865,844,813,3,14,17,0.0,57,11,1,11,23881
20865,844,813,3,14,17,0.0,57,11,2,25,22555
20865,844,813,3,14,17,0.0,57,11,3,41,21827
20865,844,813,3,14,17,0.0,57,11,4,45,13925
20866,844,15,205,19,18,0.0,57,11,1,13,23066
20866,844,15,205,19,18,0.0,57,11,2,25,22862
20866,844,15,205,19,18,0.0,57,11,3,39,22219
20867,844,5,205,18,19,0.0,56,12,1,15,22854
20867,844,5,205,18,19,0.0,56,12,2,31,21633
20867,844,5,205,18,19,0.0,56,12,3,53,23114
20868,844,816,166,23,20,0.0,56,12,1,16,22779
20868,844,816,166,23,20,0.0,56,12,2,33,24837
20869,844,39,164,22,21,0.0,55,13,1,14,27353
20869,844,39,164,22,21,0.0,55,13,2,27,24962
20869,844,39,164,22,21,0.0,55,13,3,45,24474
20870,844,24,164,20,22,0.0,53,15,1,15,24634
20870,844,24,164,20,22,0.0,53,15,2,16,56611
20870,844,24,164,20,22,0.0,53,15,3,35,25125
20870,844,24,164,20,22,0.0,53,15,4,37,43603
20871,844,814,10,13,23,0.0,44,31,1,11,20775
20871,844,814,10,13,23,0.0,44,31,2,24,20930
20871,844,814,10,13,23,0.0,44,31,3,32,20887
20871,844,814,10,13,23,0.0,44,31,4,44,21403
20873,845,20,9,2,1,25.0,66,1,1,9,20253
20873,845,20,9,2,1,25.0,66,1,2,18,19887
20873,845,20,9,2,1,25.0,66,1,3,34,20426
20873,845,20,9,2,1,25.0,66,1,4,48,20292
20874,845,1,1,3,2,18.0,66,1,1,11,19761
20874,845,1,1,3,2,18.0,66,1,2,23,20235
20874,845,1,1,3,2,18.0,66,1,3,35,20473
20874,845,1,1,3,2,18.0,66,1,4,49,20988
20875,845,18,1,5,3,15.0,66,1,1,14,20015
20875,845,18,1,5,3,15.0,66,1,2,30,20763
20875,845,18,1,5,3,15.0,66,1,3,48,20107
20876,845,17,9,1,4,12.0,66,1,1,10,20881
20876,845,17,9,1,4,12.0,66,1,2,19,20079
20876,845,17,9,1,4,12.0,66,1,3,29,20279
20876,845,17,9,1,4,12.0,66,1,4,47,19984
20877,845,4,6,4,5,10.0,65,11,1,10,20567
20877,845,4,6,4,5,10.0,65,11,2,19,20238
20877,845,4,6,4,5,10.0,65,11,3,29,20738
20877,845,4,6,4,5,10.0,65,11,4,39,20380
20878,845,30,131,10,6,8.0,65,11,1,10,20084
20878,845,30,131,10,6,8.0,65,11,2,26,20487
20878,845,30,131,10,6,8.0,65,11,3,41,20451
20879,845,3,131,7,7,6.0,65,11,1,11,20647
20879,845,3,131,7,7,6.0,65,11,2,27,19534
20879,845,3,131,7,7,6.0,65,11,3,42,20395
20880,845,2,4,24,8,4.0,65,11,1,21,21322
20880,845,2,4,24,8,4.0,65,11,2,36,21953
20880,845,2,4,24,8,4.0,65,11,3,50,20796
20881,845,815,15,12,9,2.0,65,11,1,7,23592
20881,845,815,15,12,9,2.0,65,11,2,29,21143
20881,845,815,15,12,9,2.0,65,11,3,47,21829
20882,845,155,15,14,10,1.0,65,11,1,1,24871
20882,845,155,15,14,10,1.0,65,11,2,25,21128
20882,845,155,15,14,10,1.0,65,11,3,44,20500
20883,845,808,4,6,11,0.0,65,11,1,11,21856
20883,845,808,4,6,11,0.0,65,11,2,26,24232
20883,845,808,4,6,11,0.0,65,11,3,41,21739
20884,845,814,10,16,12,0.0,65,11,1,15,20070
20884,845,814,10,16,12,0.0,65,11,2,32,20126
20884,845,814,10,16,12,0.0,65,11,3,51,20573
20885,845,16,10,17,13,0.0,65,11,1,13,20773
20885,845,16,10,17,13,0.0,65,11,2,30,20267
20885,845,16,10,17,13,0.0,65,11,3,48,23230
20886,845,67,5,11,14,0.0,65,11,1,9,20818
20886,845,67,5,11,14,0.0,65,11,2,25,24745
20886,845,67,5,11,14,0.0,65,11,3,42,20819
20887,845,813,3,9,15,0.0,65,11,1,8,22689
20887,845,813,3,9,15,0.0,65,11,2,20,24821
20887,845,813,3,9,15,0.0,65,11,3,36,21574
20887,845,813,3,9,15,0.0,65,11,4,53,22077
20888,845,153,5,13,16,0.0,64,12,1,11,20741
20888,845,153,5,13,16,0.0,64,12,2,24,20872
20888,845,153,5,13,16,0.0,64,12,3,36,21019
20888,845,153,5,13,16,0.0,64,12,4,50,23143
20889,845,22,3,19,17,0.0,64,12,1,11,29936
20889,845,22,3,19,17,0.0,64,12,2,23,21226
20889,845,22,3,19,17,0.0,64,12,3,35,20650
20889,845,22,3,19,17,0.0,64,12,4,54,20637
20890,845,15,205,18,18,0.0,64,12,1,15,22364
20890,845,15,205,18,18,0.0,64,12,2,29,21723
20890,845,15,205,18,18,0.0,64,12,3,43,23001
20891,845,10,166,20,19,0.0,63,13,1,16,22744
20891,845,10,166,20,19,0.0,63,13,2,38,21632
20891,845,10,166,20,19,0.0,63,13,3,53,21170
20892,845,816,166,23,20,0.0,62,14,1,17,23176
20892,845,816,166,23,20,0.0,62,14,2,34,22982
20892,845,816,166,23,20,0.0,62,14,3,49,21708
20893,845,39,164,22,21,0.0,61,15,1,14,24843
20893,845,39,164,22,21,0.0,61,15,2,28,24448
20893,845,39,164,22,21,0.0,61,15,3,47,24298
20894,845,13,6,8,22,0.0,58,6,1,11,20800
20894,845,13,6,8,22,0.0,58,6,2,21,21635
20894,845,13,6,8,22,0.0,58,6,3,36,22419
20895,845,5,205,15,23,0.0,48,3,1,16,21019
20895,845,5,205,15,23,0.0,48,3,2,28,20807
20895,845,5,205,15,23,0.0,48,3,3,41,23068
20896,845,24,164,21,24,0.0,28,6,1,16,23157
20897,846,20,9,1,1,25.0,78,1,1,16,28536
20898,846,4,6,4,2,18.0,78,1,1,17,25352
20898,846,4,6,4,2,18.0,78,1,2,34,31382
20899,846,18,1,2,3,15.0,78,1,1,15,25280
20899,846,18,1,2,3,15.0,78,1,2,33,26421
20899,846,18,1,2,3,15.0,78,1,3,48,24670
20900,846,17,9,3,4,12.0,78,1,1,16,37735
20900,846,17,9,3,4,12.0,78,1,2,55,26269
20901,846,155,15,12,5,10.0,78,1,1,34,28642
20902,846,1,1,9,6,8.0,78,1,1,22,31445
20902,846,1,1,9,6,8.0,78,1,2,43,19347
20902,846,1,1,9,6,8.0,78,1,3,49,26977
20903,846,16,10,14,7,6.0,77,11,1,34,25037
20903,846,16,10,14,7,6.0,77,11,2,68,27879
20904,846,2,4,15,8,4.0,77,11,1,33,25851
20904,846,2,4,15,8,4.0,77,11,2,69,26281
20905,846,22,3,11,9,2.0,77,11,1,32,25921
20905,846,22,3,11,9,2.0,77,11,2,68,25675
20906,846,67,5,16,10,1.0,77,11,1,33,26073
20906,846,67,5,16,10,1.0,77,11,2,62,25045
20907,846,3,131,7,11,0.0,76,12,1,15,25189
20907,846,3,131,7,11,0.0,76,12,2,33,25310
20907,846,3,131,7,11,0.0,76,12,3,53,25116
20908,846,814,10,13,12,0.0,76,12,1,20,24970
20908,846,814,10,13,12,0.0,76,12,2,27,19360
20908,846,814,10,13,12,0.0,76,12,3,32,47226
20909,846,15,205,18,13,0.0,76,12,1,24,25595
20909,846,15,205,18,13,0.0,76,12,2,46,26065
20910,846,5,205,17,14,0.0,76,12,1,19,26477
20910,846,5,205,17,14,0.0,76,12,2,52,25878
20911,846,816,166,21,15,0.0,75,13,1,33,27577
20911,846,816,166,21,15,0.0,75,13,2,63,26464
20912,846,24,164,23,16,0.0,75,13,1,32,28298
20913,846,39,164,22,17,0.0,74,14,1,25,28325
20913,846,39,164,22,17,0.0,74,14,2,33,39917
20914,846,813,3,8,18,0.0,73,3,1,25,26468
20914,846,813,3,8,18,0.0,73,3,2,54,25687
20915,846,808,4,10,19,0.0,67,4,1,28,28856
20916,846,153,5,19,20,0.0,66,4,1,29,25907
20916,846,153,5,19,20,0.0,66,4,2,56,27550
20917,846,13,6,6,21,0.0,32,3,1,26,26615
20918,846,30,131,5,22,0.0,32,5,1,12,35084
20919,846,10,166,20,23,0.0,30,22,1,22,26827
20920,847,18,1,7,1,25.0,70,1,1,8,23650
20920,847,18,1,7,1,25.0,70,1,2,13,14501
20920,847,18,1,7,1,25.0,70,1,3,19,23868
20920,847,18,1,7,1,25.0,70,1,4,35,23589
20920,847,18,1,7,1,25.0,70,1,5,37,31718
20920,847,18,1,7,1,25.0,70,1,6,51,23741
20921,847,20,9,1,2,18.0,70,1,1,20,23872
20921,847,20,9,1,2,18.0,70,1,2,37,22958
20921,847,20,9,1,2,18.0,70,1,3,53,22526
20922,847,17,9,4,3,15.0,70,1,1,20,29546
20922,847,17,9,4,3,15.0,70,1,2,36,22402
20922,847,17,9,4,3,15.0,70,1,3,50,22770
20923,847,30,131,8,4,12.0,70,1,1,18,24472
20923,847,30,131,8,4,12.0,70,1,2,21,24196
20923,847,30,131,8,4,12.0,70,1,3,34,22832
20923,847,30,131,8,4,12.0,70,1,4,52,22869
20924,847,808,4,10,5,10.0,70,1,1,36,23816
20924,847,808,4,10,5,10.0,70,1,2,53,24145
20925,847,13,6,3,6,8.0,70,1,1,21,24886
20925,847,13,6,3,6,8.0,70,1,2,36,22742
20925,847,13,6,3,6,8.0,70,1,3,52,22560
20925,847,13,6,3,6,8.0,70,1,4,53,28346
20926,847,155,15,13,7,6.0,70,1,1,36,23687
20926,847,155,15,13,7,6.0,70,1,2,53,24618
20927,847,153,5,24,8,4.0,70,1,1,19,26045
20927,847,153,5,24,8,4.0,70,1,2,35,24863
20927,847,153,5,24,8,4.0,70,1,3,51,23338
20928,847,22,3,16,9,2.0,70,1,1,15,23305
20928,847,22,3,16,9,2.0,70,1,2,19,25066
20928,847,22,3,16,9,2.0,70,1,3,34,24684
20928,847,22,3,16,9,2.0,70,1,4,50,23059
20929,847,67,5,15,10,1.0,70,1,1,17,23949
20929,847,67,5,15,10,1.0,70,1,2,20,24649
20929,847,67,5,15,10,1.0,70,1,3,34,23970
20929,847,67,5,15,10,1.0,70,1,4,50,26561
20930,847,3,131,6,11,0.0,70,1,1,17,23105
20930,847,3,131,6,11,0.0,70,1,2,19,22986
20930,847,3,131,6,11,0.0,70,1,3,36,22735
20930,847,3,131,6,11,0.0,70,1,4,53,22702
20931,847,37,15,17,12,0.0,70,1,1,35,30288
20931,847,37,15,17,12,0.0,70,1,2,52,24039
20932,847,24,164,20,13,0.0,69,11,1,9,27202
20932,847,24,164,20,13,0.0,69,11,2,35,34897
20932,847,24,164,20,13,0.0,69,11,3,52,33278
20933,847,39,164,22,14,0.0,69,11,1,37,29115
20933,847,39,164,22,14,0.0,69,11,2,51,29540
20934,847,816,166,23,15,0.0,69,11,1,17,24143
20934,847,816,166,23,15,0.0,69,11,2,23,30497
20934,847,816,166,23,15,0.0,69,11,3,33,24655
20934,847,816,166,23,15,0.0,69,11,4,36,14538
20934,847,816,166,23,15,0.0,69,11,5,52,30714
20935,847,10,166,21,16,0.0,69,11,1,34,24425
20935,847,10,166,21,16,0.0,69,11,2,51,25079
20936,847,15,205,18,17,0.0,69,11,1,19,51684
20936,847,15,205,18,17,0.0,69,11,2,36,23332
20936,847,15,205,18,17,0.0,69,11,3,52,25140
20937,847,814,10,11,18,0.0,67,3,1,35,22479
20937,847,814,10,11,18,0.0,67,3,2,43,28630
20937,847,814,10,11,18,0.0,67,3,3,50,14538
20937,847,814,10,11,18,0.0,67,3,4,53,23129
20938,847,813,3,12,19,0.0,61,31,1,17,23571
20938,847,813,3,12,19,0.0,61,31,2,19,24943
20938,847,813,3,12,19,0.0,61,31,3,35,23593
20938,847,813,3,12,19,0.0,61,31,4,51,23700
20938,847,813,3,12,19,0.0,61,31,5,61,31701
20939,847,2,4,9,20,0.0,55,3,1,35,23113
20939,847,2,4,9,20,0.0,55,3,2,52,23364
20940,847,16,10,14,21,0.0,49,3,1,16,24052
20940,847,16,10,14,21,0.0,49,3,2,34,22923
20940,847,16,10,14,21,0.0,49,3,3,45,14565
20940,847,16,10,14,21,0.0,49,3,4,49,32449
20941,847,4,6,2,22,0.0,36,4,1,17,23893
20941,847,4,6,2,22,0.0,36,4,2,19,26348
20941,847,4,6,2,22,0.0,36,4,3,36,26129
20942,847,5,205,19,23,0.0,28,7,1,19,44037
20944,848,20,9,1,1,25.0,57,1,1,14,21006
20944,848,20,9,1,1,25.0,57,1,2,30,20441
20944,848,20,9,1,1,25.0,57,1,3,47,20331
20945,848,4,6,4,2,18.0,57,1,1,14,21477
20945,848,4,6,4,2,18.0,57,1,2,29,20551
20945,848,4,6,4,2,18.0,57,1,3,45,20136
20946,848,17,9,2,3,15.0,57,1,1,13,20465
20946,848,17,9,2,3,15.0,57,1,2,28,20319
20946,848,17,9,2,3,15.0,57,1,3,42,20367
20947,848,1,1,3,4,12.0,57,1,1,12,20340
20947,848,1,1,3,4,12.0,57,1,2,24,21035
20947,848,1,1,3,4,12.0,57,1,3,42,20212
20948,848,13,6,5,5,10.0,57,1,1,15,20718
20948,848,13,6,5,5,10.0,57,1,2,31,25537
20948,848,13,6,5,5,10.0,57,1,3,48,20404
20949,848,18,1,6,6,8.0,57,1,1,14,20997
20949,848,18,1,6,6,8.0,57,1,2,30,20325
20949,848,18,1,6,6,8.0,57,1,3,48,20479
20950,848,3,131,7,7,6.0,57,1,1,12,21054
20950,848,3,131,7,7,6.0,57,1,2,30,23547
20950,848,3,131,7,7,6.0,57,1,3,45,20896
20951,848,153,5,18,8,4.0,56,11,1,19,21391
20951,848,153,5,18,8,4.0,56,11,2,42,21103
20952,848,16,10,10,9,2.0,56,11,1,12,20676
20952,848,16,10,10,9,2.0,56,11,2,28,20286
20952,848,16,10,10,9,2.0,56,11,3,43,21036
20953,848,2,4,9,10,1.0,56,11,1,11,22114
20953,848,2,4,9,10,1.0,56,11,2,27,22285
20953,848,2,4,9,10,1.0,56,11,3,40,21472
20954,848,815,15,16,11,0.0,56,11,1,25,21939
20955,848,22,3,13,12,0.0,56,11,1,11,21163
20955,848,22,3,13,12,0.0,56,11,2,28,21262
20955,848,22,3,13,12,0.0,56,11,3,40,21286
20956,848,67,5,17,13,0.0,56,11,1,14,21321
20956,848,67,5,17,13,0.0,56,11,2,26,20460
20956,848,67,5,17,13,0.0,56,11,3,45,20995
20957,848,814,10,12,14,0.0,56,11,1,14,20567
20957,848,814,10,12,14,0.0,56,11,2,27,20818
20957,848,814,10,12,14,0.0,56,11,3,44,21069
20958,848,808,4,11,15,0.0,56,11,1,15,22104
20958,848,808,4,11,15,0.0,56,11,2,27,21168
20958,848,808,4,11,15,0.0,56,11,3,39,21105
20959,848,155,15,14,16,0.0,56,11,1,11,23492
20959,848,155,15,14,16,0.0,56,11,2,33,20545
20960,848,30,131,8,17,0.0,56,11,1,14,21201
20960,848,30,131,8,17,0.0,56,11,2,15,30665
20960,848,30,131,8,17,0.0,56,11,3,31,21168
20961,848,813,3,15,18,0.0,56,11,1,10,21301
20961,848,813,3,15,18,0.0,56,11,2,28,21805
20961,848,813,3,15,18,0.0,56,11,3,44,21490
