driverId,constructorId,grid,positionOrder,laps,circuitId,numStops
816,166,21,0,57,20,2
817,164,22,0,57,20,2
1,1,2,0,70,11,6
2,4,14,0,23,11,2
3,131,7,0,69,11,4
4,6,5,0,70,11,4
5,205,18,0,55,11,5
10,166,20,0,66,11,3
13,6,4,0,70,11,4
15,205,19,0,17,11,1
16,10,8,0,68,11,4
17,9,6,0,70,11,5
18,1,3,1,70,11,3
20,9,1,0,70,11,3
22,3,15,0,68,11,5
24,164,21,0,65,11,5
30,131,9,0,26,11,2
67,5,23,0,69,11,3
153,5,16,0,69,11,3
155,15,13,0,69,11,3
808,4,12,0,69,11,4
813,3,17,0,68,11,5
814,10,11,0,69,11,3
815,15,10,0,68,11,4
816,166,24,0,65,11,4
817,164,22,0,66,11,3
1,1,2,0,12,13,1
3,131,5,0,44,13,2
4,6,8,0,44,13,2
5,205,16,0,43,13,3
10,166,19,0,43,13,4
13,6,4,0,44,13,3
15,205,18,0,43,13,2
16,10,15,0,44,13,2
17,9,3,0,44,13,2
18,1,13,0,44,13,3
20,9,1,1,44,13,3
22,3,14,0,43,13,3
24,164,22,0,43,13,2
30,131,24,0,44,13,3
155,15,12,0,44,13,2
808,4,10,0,44,13,2
811,4,7,0,44,13,3
813,3,21,0,44,13,2
814,10,17,0,44,13,2
815,15,9,0,27,13,3
816,166,20,0,43,13,2
817,164,23,0,13,13,1
1,1,2,0,53,14,2
4,6,4,0,53,14,2
5,205,20,0,51,14,2
10,166,21,0,51,14,2
13,6,6,0,53,14,2
15,205,19,0,51,14,2
18,1,3,0,53,14,2
20,9,1,1,53,14,2
22,3,13,0,52,14,2
30,131,8,0,53,14,2
67,5,16,0,52,14,2
153,5,18,0,52,14,2
155,15,17,0,21,14,2
811,4,10,0,52,14,3
813,3,14,0,52,14,2
814,10,11,0,52,14,2
817,164,23,0,39,14,2
1,1,4,0,61,15,5
3,131,7,0,60,15,3
4,6,5,0,61,15,3
5,205,19,0,59,15,3
13,6,6,0,60,15,4
15,205,20,0,47,15,3
16,10,9,0,60,15,2
17,9,2,0,61,15,3
18,1,3,0,61,15,3
20,9,1,1,61,15,3
22,3,12,0,60,15,2
24,164,24,0,57,15,4
30,131,8,0,28,15,2
67,5,14,0,60,15,3
153,5,16,0,56,15,3
155,15,17,0,59,15,4
808,4,18,0,59,15,3
811,4,15,0,59,15,4
813,3,13,0,60,15,3
814,10,10,0,61,15,2
815,15,11,0,60,15,2
816,166,22,0,59,15,2
817,164,23,0,57,15,3
1,1,3,0,53,22,3
3,131,23,0,53,22,3
4,6,5,0,53,22,3
5,205,18,0,53,22,3
10,166,21,0,51,22,3
13,6,4,0,53,22,3
15,205,19,0,53,22,3
16,10,11,0,53,22,3
17,9,6,0,53,22,3
18,1,2,1,53,22,3
20,9,1,0,53,22,3
22,3,13,0,53,22,3
24,164,24,0,50,22,3
30,131,8,0,53,22,3
67,5,15,0,11,22,1
153,5,16,0,53,22,2
155,15,7,0,53,22,2
808,4,10,0,53,22,2
811,4,9,0,53,22,2
813,3,14,0,53,22,3
814,10,12,0,53,22,3
815,15,17,0,53,22,2
816,166,20,0,51,22,3
817,164,22,0,51,22,3
1,1,1,0,55,35,2
3,131,7,0,55,35,2
4,6,6,0,55,35,2
5,205,19,0,54,35,2
10,166,21,0,54,35,2
13,6,5,0,55,35,2
15,205,20,0,54,35,2
16,10,10,0,55,35,2
17,9,4,0,55,35,2
