raceId,driverId,constructorId,grid,positionOrder,laps,circuitId,stop,lap,milliseconds
843,15,205,20,19,55,17,1,20,23029
843,15,205,20,19,55,17,2,42,22260
843,816,166,21,20,54,17,1,20,22901
843,816,166,21,20,54,17,2,34,22802
843,10,166,22,21,54,17,1,16,22683
843,10,166,22,21,54,17,2,28,21908
843,10,166,22,21,54,17,3,39,33827
843,24,164,23,22,54,17,1,9,14160
843,24,164,23,22,54,17,2,21,24467
843,24,164,23,22,54,17,3,45,23499
843,39,164,24,23,54,17,1,23,26049
843,153,5,7,24,9,17,1,9,22419
844,20,9,1,1,58,5,1,11,20623
844,20,9,1,1,58,5,2,25,20112
844,20,9,1,1,58,5,3,40,20385
844,20,9,1,1,58,5,4,47,20489
844,17,9,2,2,58,5,1,10,21050
844,17,9,2,2,58,5,2,21,20421
844,17,9,2,2,58,5,3,35,20843
844,17,9,2,2,58,5,4,45,22087
844,4,6,5,3,58,5,1,10,21308
844,4,6,5,3,58,5,2,23,21732
844,4,6,5,3,58,5,3,36,21702
844,4,6,5,3,58,5,4,46,21379
844,1,1,4,4,58,5,1,9,20833
844,1,1,4,4,58,5,2,20,21075
844,1,1,4,4,58,5,3,34,35688
844,1,1,4,4,58,5,4,46,22041
844,3,131,3,5,58,5,1,10,22573
844,3,131,3,5,58,5,2,22,20927
844,3,131,3,5,58,5,3,33,20949
844,3,131,3,5,58,5,4,44,20308
844,18,1,6,6,58,5,1,13,21368
844,18,1,6,6,58,5,2,26,22639
844,18,1,6,6,58,5,3,39,21417
844,2,4,9,7,58,5,1,10,22300
844,2,4,9,7,58,5,2,22,21919
844,2,4,9,7,58,5,3,36,20872
844,2,4,9,7,58,5,4,46,21884
844,808,4,7,8,58,5,1,8,21422
844,808,4,7,8,58,5,2,19,21323
844,808,4,7,8,58,5,3,34,21838
844,808,4,7,8,58,5,4,45,21662
844,67,5,16,9,58,5,1,9,21769
844,67,5,16,9,58,5,2,23,22128
844,67,5,16,9,58,5,3,40,22032
844,155,15,24,10,58,5,1,13,21820
844,155,15,24,10,58,5,2,23,23455
844,155,15,24,10,58,5,3,38,22456
844,13,6,10,11,58,5,1,9,22022
844,13,6,10,11,58,5,2,23,21322
844,13,6,10,11,58,5,3,34,23471
844,13,6,10,11,58,5,4,46,26685
844,30,131,8,12,58,5,1,2,30182
844,30,131,8,12,58,5,2,14,20907
844,30,131,8,12,58,5,3,30,20379
844,30,131,8,12,58,5,4,45,20597
844,16,10,12,13,57,5,1,10,21649
844,16,10,12,13,57,5,2,25,21084
844,16,10,12,13,57,5,3,40,21006
844,815,15,15,14,57,5,1,1,29270
844,815,15,15,14,57,5,2,16,22895
844,815,15,15,14,57,5,3,32,22365
844,815,15,15,14,57,5,4,42,21715
844,22,3,11,15,57,5,1,10,22717
844,22,3,11,15,57,5,2,24,22868
844,22,3,11,15,57,5,3,40,21687
844,153,5,17,16,57,5,1,13,22713
844,153,5,17,16,57,5,2,29,21826
844,153,5,17,16,57,5,3,39,21986
844,153,5,17,16,57,5,4,55,21931
844,813,3,14,17,57,5,1,11,23881
844,813,3,14,17,57,5,2,25,22555
844,813,3,14,17,57,5,3,41,21827
844,813,3,14,17,57,5,4,45,13925
844,15,205,19,18,57,5,1,13,23066
844,15,205,19,18,57,5,2,25,22862
844,15,205,19,18,57,5,3,39,22219
844,5,205,18,19,56,5,1,15,22854
844,5,205,18,19,56,5,2,31,21633
844,5,205,18,19,56,5,3,53,23114
844,816,166,23,20,56,5,1,16,22779
844,816,166,23,20,56,5,2,33,24837
844,39,164,22,21,55,5,1,14,27353
844,39,164,22,21,55,5,2,27,24962
844,39,164,22,21,55,5,3,45,24474
844,24,164,20,22,53,5,1,15,24634
844,24,164,20,22,53,5,2,16,56611
844,24,164,20,22,53,5,3,35,25125
844,24,164,20,22,53,5,4,37,43603
844,814,10,13,23,44,5,1,11,20775
844,814,10,13,23,44,5,2,24,20930
844,814,10,13,23,44,5,3,32,20887
844,814,10,13,23,44,5,4,44,21403
845,20,9,2,1,66,4,1,9,20253
845,20,9,2,1,66,4,2,18,19887
845,20,9,2,1,66,4,3,34,20426
845,20,9,2,1,66,4,4,48,20292
845,1,1,3,2,66,4,1,11,19761
845,1,1,3,2,66,4,2,23,20235
845,1,1,3,2,66,4,3,35,20473
845,1,1,3,2,66,4,4,49,20988
845,18,1,5,3,66,4,1,14,20015
845,18,1,5,3,66,4,2,30,20763
845,18,1,5,3,66,4,3,48,20107
845,17,9,1,4,66,4,1,10,20881
845,17,9,1,4,66,4,2,19,20079
845,17,9,1,4,66,4,3,29,20279
845,17,9,1,4,66,4,4,47,19984
845,4,6,4,5,65,4,1,10,20567
845,4,6,4,5,65,4,2,19,20238
845,4,6,4,5,65,4,3,29,20738
845,4,6,4,5,65,4,4,39,20380
845,30,131,10,6,65,4,1,10,20084
845,30,131,10,6,65,4,2,26,20487
845,30,131,10,6,65,4,3,41,20451
845,3,131,7,7,65,4,1,11,20647
845,3,131,7,7,65,4,2,27,19534
845,3,131,7,7,65,4,3,42,20395
845,2,4,24,8,65,4,1,21,21322
845,2,4,24,8,65,4,2,36,21953
845,2,4,24,8,65,4,3,50,20796
845,815,15,12,9,65,4,1,7,23592
845,815,15,12,9,65,4,2,29,21143
845,815,15,12,9,65,4,3,47,21829
845,155,15,14,10,65,4,1,1,24871
845,155,15,14,10,65,4,2,25,21128
845,155,15,14,10,65,4,3,44,20500
845,808,4,6,11,65,4,1,11,21856
845,808,4,6,11,65,4,2,26,24232
845,808,4,6,11,65,4,3,41,21739
845,814,10,16,12,65,4,1,15,20070
845,814,10,16,12,65,4,2,32,20126
845,814,10,16,12,65,4,3,51,20573
845,16,10,17,13,65,4,1,13,20773
845,16,10,17,13,65,4,2,30,20267
845,16,10,17,13,65,4,3,48,23230
845,67,5,11,14,65,4,1,9,20818
845,67,5,11,14,65,4,2,25,24745
845,67,5,11,14,65,4,3,42,20819
845,813,3,9,15,65,4,1,8,22689
845,813,3,9,15,65,4,2,20,24821
845,813,3,9,15,65,4,3,36,21574
845,813,3,9,15,65,4,4,53,22077
845,153,5,13,16,64,4,1,11,20741
845,153,5,13,16,64,4,2,24,20872
845,153,5,13,16,64,4,3,36,21019
845,153,5,13,16,64,4,4,50,23143
845,22,3,19,17,64,4,1,11,29936
845,22,3,19,17,64,4,2,23,21226
845,22,3,19,17,64,4,3,35,20650
845,22,3,19,17,64,4,4,54,20637
845,15,205,18,18,64,4,1,15,22364
845,15,205,18,18,64,4,2,29,21723
845,15,205,18,18,64,4,3,43,23001
845,10,166,20,19,63,4,1,16,22744
845,10,166,20,19,63,4,2,38,21632
845,10,166,20,19,63,4,3,53,21170
845,816,166,23,20,62,4,1,17,23176
845,816,166,23,20,62,4,2,34,22982
845,816,166,23,20,62,4,3,49,21708
