raceId,driverId,constructorId,grid,positionOrder,laps,circuitId,stop,lap,milliseconds
847,30,131,8,4,70,7,4,52,22869
847,37,15,17,12,70,7,2,52,24039
847,39,164,22,14,69,7,2,51,29540
847,67,5,15,10,70,7,4,50,26561
847,153,5,24,8,70,7,3,51,23338
847,155,15,13,7,70,7,2,53,24618
847,808,4,10,5,70,7,2,53,24145
847,813,3,12,19,61,7,5,61,31701
847,814,10,11,18,67,7,4,53,23129
847,816,166,23,15,69,7,5,52,30714
848,1,1,3,4,57,12,3,42,20212
848,2,4,9,10,56,12,3,40,21472
848,3,131,7,7,57,12,3,45,20896
848,4,6,4,2,57,12,3,45,20136
848,5,205,19,19,55,12,3,42,22632
848,10,166,21,21,55,12,2,42,22030
848,13,6,5,5,57,12,3,48,20404
848,15,205,20,20,55,12,2,34,22131
848,16,10,10,9,56,12,3,43,21036
848,17,9,2,3,57,12,3,42,20367
848,18,1,6,6,57,12,3,48,20479
848,20,9,1,1,57,12,3,47,20331
848,22,3,13,12,56,12,3,40,21286
848,24,164,22,23,54,12,3,43,22235
848,30,131,8,17,56,12,3,31,21168
848,39,164,24,24,54,12,3,44,26059
848,67,5,17,13,56,12,3,45,20995
848,153,5,18,8,56,12,2,42,21103
848,155,15,14,16,56,12,2,33,20545
848,808,4,11,15,56,12,3,39,21105
848,813,3,15,18,56,12,3,44,21490
848,814,10,12,14,56,12,3,44,21069
848,815,15,16,11,56,12,1,25,21939
848,816,166,23,22,55,12,2,37,22250
849,1,1,10,4,52,9,3,37,23340
849,2,4,16,8,52,9,2,30,24434
849,3,131,9,6,52,9,2,30,24399
849,4,6,3,1,52,9,3,39,23474
849,10,166,20,16,50,9,2,30,24959
849,13,6,4,5,52,9,3,41,23238
849,16,10,11,11,52,9,3,40,27240
849,17,9,1,3,52,9,3,38,23785
849,18,1,5,20,39,9,3,39,23292
849,20,9,2,2,52,9,3,36,23137
849,22,3,15,13,51,9,2,31,23955
849,24,164,23,18,50,9,2,31,25505
849,30,131,13,9,52,9,3,31,24651
849,67,5,19,21,25,9,2,25,24620
849,153,5,18,10,52,9,2,31,24095
849,155,15,8,22,23,9,2,20,31551
849,808,4,14,12,52,9,2,38,24172
849,813,3,7,14,51,9,3,35,23869
849,814,10,6,15,51,9,3,26,31471
849,815,15,12,7,52,9,2,32,25619
849,816,166,22,17,50,9,2,28,25428
849,817,164,24,19,49,9,2,28,26942
850,1,1,2,1,60,20,3,51,20403
850,3,131,6,7,59,20,3,53,20047
850,4,6,4,2,60,20,3,53,19975
850,5,205,18,16,58,20,2,50,21175
850,10,166,19,17,57,20,2,48,21252
850,13,6,5,5,60,20,3,59,21903
850,16,10,8,6,60,20,2,48,20879
850,17,9,1,3,60,20,3,56,20324
850,18,1,7,22,35,20,1,24,20952
850,20,9,3,4,60,20,3,59,20110
850,24,164,23,21,37,20,1,20,22048
850,30,131,10,8,59,20,3,56,19930
850,67,5,24,15,59,20,2,36,20954
850,153,5,16,12,59,20,2,43,21689
850,155,15,17,9,59,20,2,48,21267
850,808,4,9,10,59,20,2,46,20572
850,812,205,20,20,56,20,3,51,22458
850,813,3,13,14,59,20,2,35,21057
850,814,10,12,13,59,20,2,51,22535
850,815,15,15,11,59,20,2,41,21645
850,816,166,21,18,57,20,2,49,23588
850,817,164,22,19,57,20,2,49,24053
851,1,1,2,4,70,11,6,56,13173
851,2,4,14,23,23,11,2,23,25434
851,3,131,7,9,69,11,4,54,23244
851,4,6,5,3,70,11,4,47,20126
851,5,205,18,21,55,11,5,52,21715
851,10,166,20,17,66,11,3,53,20929
851,13,6,4,6,70,11,4,58,21157
851,15,205,19,24,17,11,1,13,23118
851,16,10,8,14,68,11,4,53,21503
851,17,9,6,5,70,11,5,53,20715
851,18,1,3,1,70,11,3,42,20046
851,20,9,1,2,70,11,3,41,19664
851,22,3,15,13,68,11,5,52,25596
851,24,164,21,20,65,11,5,51,22458
851,30,131,9,22,26,11,2,26,20071
851,67,5,23,8,69,11,3,43,20360
851,153,5,16,10,69,11,3,47,21345
851,155,15,13,11,69,11,3,62,21258
851,808,4,12,12,69,11,4,53,21609
851,813,3,17,16,68,11,5,53,22825
851,814,10,11,7,69,11,3,42,20935
851,815,15,10,15,68,11,4,44,20917
851,816,166,24,19,65,11,4,51,22470
851,817,164,22,18,66,11,3,43,21651
852,1,1,2,22,12,13,1,10,21895
852,3,131,5,6,44,13,2,30,21171
852,4,6,8,4,44,13,2,29,21243
852,5,205,16,15,43,13,3,33,22306
852,10,166,19,18,43,13,4,35,21721
852,13,6,4,8,44,13,3,32,21485
852,15,205,18,14,43,13,2,31,21484
852,16,10,15,7,44,13,2,31,20983
852,17,9,3,2,44,13,2,31,20947
852,18,1,13,3,44,13,3,32,21640
852,20,9,1,1,44,13,3,30,20786
852,22,3,14,16,43,13,3,40,47753
852,24,164,22,19,43,13,2,27,30959
852,30,131,24,5,44,13,3,31,21319
852,155,15,12,12,44,13,2,29,21269
852,808,4,10,9,44,13,2,30,21979
852,811,4,7,13,44,13,3,21,20756
852,813,3,21,10,44,13,2,29,22303
852,814,10,17,11,44,13,2,30,21350
852,815,15,9,20,27,13,3,23,23883
852,816,166,20,17,43,13,2,36,22114
852,817,164,23,21,13,13,1,13,23780
853,1,1,2,4,53,14,2,34,21876
853,4,6,4,3,53,14,2,34,21989
853,5,205,20,13,51,14,2,35,22611
853,10,166,21,15,51,14,2,38,22784
853,13,6,6,6,53,14,2,41,22148
853,15,205,19,14,51,14,2,24,23420
853,18,1,3,2,53,14,2,33,22095
853,20,9,1,1,53,14,2,35,21378
853,22,3,13,12,52,14,2,32,23414
853,30,131,8,5,53,14,2,37,22014
853,67,5,16,10,52,14,2,40,24086
853,153,5,18,7,52,14,2,41,22279
853,155,15,17,18,21,14,2,18,22939
853,811,4,10,9,52,14,3,40,22273
853,813,3,14,11,52,14,2,37,22614
853,814,10,11,8,52,14,2,31,23069
853,817,164,23,16,39,14,2,20,30777
854,1,1,4,5,61,15,5,48,29876
854,3,131,7,7,60,15,3,29,30261
854,4,6,5,4,61,15,3,49,29972
854,5,205,19,16,59,15,3,47,31207
854,13,6,6,9,60,15,4,41,30983
854,15,205,20,22,47,15,3,44,31168
854,16,10,9,8,60,15,2,29,33418
854,17,9,2,3,61,15,3,47,30413
854,18,1,3,2,61,15,3,48,30305
854,20,9,1,1,61,15,3,49,30796
854,22,3,12,13,60,15,2,30,30544
854,24,164,24,20,57,15,4,46,42920
854,30,131,8,23,28,15,2,24,29473
854,67,5,14,12,60,15,3,49,32739
854,153,5,16,21,56,15,3,35,31836
854,155,15,17,14,59,15,4,53,30869
854,808,4,18,17,59,15,3,47,30485
854,811,4,15,15,59,15,4,48,30987
854,813,3,13,11,60,15,3,45,30477
854,814,10,10,6,61,15,2,29,29764
854,815,15,11,10,60,15,2,29,33344
854,816,166,22,18,59,15,2,28,31592
854,817,164,23,19,57,15,3,27,33058
855,1,1,3,5,53,22,3,35,21292
855,3,131,23,10,53,22,3,41,20809
855,4,6,5,2,53,22,3,37,20731
855,5,205,18,18,53,22,3,37,22532
855,10,166,21,20,51,22,3,36,22877
855,13,6,4,7,53,22,3,36,21100
855,15,205,19,19,53,22,3,38,22156
855,16,10,11,11,53,22,3,37,21839
855,17,9,6,4,53,22,3,34,21455
855,18,1,2,1,53,22,3,36,20998
855,20,9,1,3,53,22,3,33,21705
855,22,3,13,17,53,22,3,37,21890
855,24,164,24,23,50,22,3,35,22631
855,30,131,8,6,53,22,3,41,20879
855,67,5,15,24,11,22,1,11,21849
855,153,5,16,15,53,22,2,36,22584
855,155,15,7,13,53,22,2,24,22299
855,808,4,10,9,53,22,2,39,20832
855,811,4,9,16,53,22,2,35,22466
855,813,3,14,14,53,22,3,41,21012
855,814,10,12,12,53,22,3,35,21553
855,815,15,17,8,53,22,2,37,24461
855,816,166,20,21,51,22,3,37,24269
855,817,164,22,22,51,22,3,38,22910
856,1,1,1,2,55,35,2,33,20584
856,3,131,7,8,55,35,2,27,20772
856,4,6,6,5,55,35,2,37,20639
856,5,205,19,14,54,35,2,38,22669
856,10,166,21,18,54,35,2,41,22481
856,13,6,5,6,55,35,2,34,21080
856,15,205,20,17,54,35,2,36,22851
856,16,10,10,11,55,35,2,35,21916
856,17,9,4,3,55,35,2,33,20800
856,18,1,3,4,55,35,2,34,20758
856,20,9,2,1,55,35,2,34,20170
856,22,3,18,12,55,35,2,31,22347
856,24,164,23,21,52,35,3,38,22092
856,30,131,12,24,15,35,1,14,20238
856,67,5,13,9,55,35,2,36,21992
856,153,5,11,7,55,35,2,37,22325
856,155,15,14,15,54,35,3,42,21472
856,808,4,8,23,16,35,1,14,21478
856,811,4,15,13,54,35,2,30,21893
856,813,3,16,22,30,35,3,28,22035
856,814,10,9,10,55,35,2,31,21060
856,815,15,17,16,54,35,3,53,21971
856,816,166,22,20,54,35,2,38,22412
856,817,164,24,19,54,35,2,41,22115
857,1,1,5,7,60,68,3,45,22172
857,3,131,7,6,60,68,2,45,22978
857,4,6,3,3,60,68,2,39,21755
857,5,205,18,14,58,68,2,41,22001
857,10,166,22,23,2,68,1,1,27378
857,13,6,6,20,32,68,3,31,27619
857,15,205,19,19,55,68,3,54,24150
857,16,10,8,9,59,68,2,35,21977
857,17,9,2,4,60,68,2,37,21240
857,18,1,4,2,60,68,2,46,21838
857,20,9,1,1,60,68,2,47,21449
857,22,3,15,15,58,68,2,35,22339
857,30,131,11,5,60,68,2,50,21482
857,39,164,24,17,57,68,2,50,23605
857,67,5,9,21,24,68,1,18,22579
857,153,5,10,8,59,68,2,46,23084
857,808,4,16,11,59,68,2,33,22519
857,811,4,14,12,59,68,2,56,21723
857,814,10,12,13,59,68,3,39,20984
857,815,15,20,10,59,68,2,34,24789
857,816,166,21,16,57,68,2,55,22472
857,817,164,23,18,57,68,3,56,28474
858,1,1,2,1,55,24,2,40,19350
858,3,131,7,6,55,24,2,48,19907
858,4,6,5,2,55,24,2,43,21314
858,5,205,17,17,54,24,2,39,20652
858,10,166,19,19,53,24,2,44,20561
858,13,6,6,5,55,24,2,40,20035
858,15,205,18,18,53,24,2,42,20791
858,16,10,9,8,55,24,2,36,20614
858,17,9,4,4,55,24,3,54,19525
858,18,1,3,3,55,24,2,36,20301
858,22,3,24,12,54,24,2,34,20534
858,24,164,22,20,53,24,1,24,21247
858,30,131,8,7,55,24,2,42,20638
858,153,5,15,15,54,24,2,34,21363
858,155,15,16,10,54,24,2,33,23108
858,808,4,12,13,54,24,2,38,19968
858,811,4,14,16,54,24,3,36,12959
858,813,3,23,14,54,24,2,30,12897
858,814,10,10,9,55,24,1,27,20216
858,815,15,11,11,54,24,2,27,19979
858,817,164,20,21,48,24,2,41,23192
859,1,1,4,22,46,18,3,44,20681
859,3,131,6,7,70,18,2,42,20658
859,4,6,5,4,71,18,3,54,20752
859,5,205,19,16,69,18,3,49,21478
859,10,166,24,24,21,18,1,21,22452
859,13,6,7,5,71,18,2,45,21053
859,15,205,20,18,69,18,2,42,21555
859,16,10,8,6,70,18,3,45,21138
859,17,9,2,1,71,18,3,58,20781
859,18,1,3,3,71,18,3,52,21583
859,20,9,1,2,71,18,3,59,22094
859,22,3,12,14,70,18,3,53,21638
859,24,164,21,21,61,18,2,45,22996
859,30,131,10,15,70,18,3,51,21373
859,67,5,14,12,70,18,2,42,22461
859,153,5,13,11,70,18,2,48,21855
859,155,15,16,9,70,18,2,43,21231
859,808,4,15,10,70,18,3,45,21781
859,811,4,9,17,69,18,4,48,22128
859,813,3,18,23,26,18,1,17,21561
859,814,10,11,8,70,18,2,40,21767
859,815,15,17,13,70,18,2,44,21337
859,816,166,23,19,68,18,2,41,23542
859,817,164,22,20,68,18,2,41,22904
860,1,1,1,3,58,1,2,36,23464
860,3,131,7,12,58,1,2,31,23017
860,4,6,12,5,58,1,2,34,21910
860,5,207,18,18,38,1,3,37,28888
860,8,208,17,7,58,1,2,37,23310
860,10,206,20,14,57,1,2,36,25046
860,13,6,16,17,46,1,3,37,22103
860,17,9,5,4,58,1,2,37,22915
860,18,1,2,1,58,1,2,36,22837
860,20,9,6,2,58,1,2,37,24131
860,155,15,13,6,58,1,2,36,24162
860,808,207,19,19,34,1,1,18,24579
860,811,3,14,16,52,1,3,47,30888
860,813,3,8,13,57,1,2,37,23166
860,814,10,15,10,58,1,2,33,24579
860,815,15,22,8,58,1,1,24,23882
860,817,5,10,9,58,1,3,38,24348
860,818,5,11,11,58,1,2,37,23569
860,819,206,21,15,53,1,3,51,17088
861,1,1,1,3,56,2,3,41,26338
861,3,131,7,13,56,2,4,39,23231
861,4,6,8,1,56,2,3,40,22534
861,5,207,24,18,55,2,4,38,23782
861,8,208,10,5,56,2,3,40,25041
861,10,206,20,17,55,2,3,39,25390
861,13,6,12,15,56,2,4,38,26934
861,17,9,4,4,56,2,3,39,23195
861,18,1,2,14,56,2,5,39,23477
861,20,9,5,11,56,2,4,47,25884
861,30,131,3,10,56,2,3,39,22163
861,37,164,22,22,54,2,3,39,28483
861,39,164,23,21,54,2,2,37,27700
861,155,15,17,23,46,2,3,40,23662
861,807,10,16,9,56,2,3,40,23358
861,808,207,19,16,55,2,3,39,30335
861,811,3,13,6,56,2,4,39,23824
861,813,3,11,19,54,2,4,39,23409
861,814,10,14,7,56,2,3,39,22175
861,815,15,9,2,56,2,3,41,24543
861,817,5,15,12,56,2,4,37,23648
861,818,5,18,8,56,2,2,40,23343
861,819,206,21,20,54,2,3,39,32224
862,1,1,7,3,56,17,3,38,20177
862,3,131,1,1,56,17,2,34,20645
862,4,6,9,9,56,17,3,38,20024
862,5,207,18,23,53,17,3,29,37748
862,8,208,4,14,56,17,2,28,21494
862,10,206,20,19,55,17,2,36,21515
862,13,6,12,13,56,17,2,41,20051
862,17,9,6,4,56,17,3,34,20471
862,18,1,5,2,56,17,3,39,26618
862,20,9,11,5,56,17,2,31,21146
862,30,131,2,24,12,17,1,12,21746
862,37,164,22,21,55,17,2,31,23488
862,39,164,23,22,54,17,2,32,23151
862,154,208,10,6,56,17,2,32,25835
862,155,15,3,10,56,17,3,38,21795
862,807,10,16,15,56,17,2,30,21027
862,808,207,19,18,55,17,2,29,22007
862,811,3,14,7,56,17,2,29,21323
862,813,3,13,8,56,17,2,33,21229
862,814,10,15,12,56,17,2,32,21006
862,815,15,8,11,56,17,2,35,22565
862,817,5,17,17,56,17,2,33,22318
862,818,5,24,16,56,17,3,41,22531
862,819,206,21,20,55,17,3,48,13981
863,1,1,2,8,57,3,3,36,23696
863,3,131,5,5,57,3,3,36,21888
863,4,6,9,7,57,3,3,37,23207
863,5,207,16,17,56,3,4,38,23173
863,8,208,11,2,57,3,3,39,22597
863,10,206,23,19,55,3,3,38,22933
863,13,6,14,9,57,3,3,38,21938
863,17,9,3,4,57,3,3,39,21705
863,18,1,4,18,55,3,4,53,23943
863,20,9,1,1,57,3,3,39,21800
863,30,131,22,10,57,3,3,37,22192
863,37,164,20,20,55,3,3,38,24520
863,39,164,24,21,55,3,4,45,24317
863,154,208,7,3,57,3,3,40,22763
863,155,15,12,13,57,3,3,50,24674
863,807,10,13,12,57,3,3,36,22560
863,808,207,18,16,56,3,3,39,23167
863,811,3,15,22,54,3,3,38,22796
863,813,3,21,23,25,3,2,23,22330
863,814,10,10,6,57,3,2,33,22483
863,815,15,8,11,57,3,3,37,22924
863,817,5,6,15,56,3,3,38,22495
863,818,5,17,14,57,3,3,40,22241
863,819,206,19,24,24,3,1,12,24020
864,1,1,24,8,66,4,2,35,19980
864,3,131,6,7,66,4,3,40,20197
864,4,6,2,2,66,4,3,44,20105
864,5,207,19,16,65,4,3,43,21275
864,8,208,4,3,66,4,3,48,20073
864,10,206,21,18,64,4,3,47,20669
864,13,6,16,15,65,4,4,45,22645
864,17,9,11,11,65,4,3,40,20129
864,18,1,10,9,66,4,3,38,19888
864,20,9,7,6,66,4,4,42,26143
864,30,131,8,24,12,4,1,10,20113
864,37,164,22,19,63,4,4,51,21471
864,39,164,23,22,22,4,2,22,22515
864,154,208,3,4,66,4,3,51,21035
864,155,15,9,5,66,4,3,41,21311
864,807,10,13,10,65,4,3,39,20515
864,808,207,18,17,65,4,3,44,21817
864,813,3,1,1,66,4,3,41,22829
864,814,10,12,14,65,4,3,42,19867
864,815,15,5,20,37,4,3,37,28531
864,817,5,15,13,65,4,3,39,20059
864,818,5,14,12,65,4,3,40,20460
864,819,206,20,21,35,4,2,27,21338
865,1,1,3,5,78,6,1,29,25748
865,3,131,2,2,78,6,1,27,24874
865,4,6,5,3,78,6,1,30,25220
865,5,207,17,13,77,6,2,73,31293
865,8,208,8,9,78,6,1,29,26380
865,10,206,19,14,77,6,2,54,36503
865,13,6,7,6,78,6,1,31,24993
865,17,9,1,1,78,6,1,29,25566
865,18,1,12,16,70,6,1,38,25219
865,20,9,9,4,78,6,1,46,25079
865,30,131,6,19,63,6,1,34,25117
865,39,164,22,15,76,6,2,74,26973
865,155,15,11,21,5,6,1,1,28390
865,807,10,10,8,78,6,1,29,26447
865,808,207,18,20,15,6,1,3,39391
865,811,3,13,10,78,6,1,29,26410
865,814,10,14,7,78,6,1,35,25642
865,815,15,23,11,77,6,2,39,19677
865,817,5,15,17,65,6,1,40,25335
