resultId,raceId,driverId,constructorId,grid,positionOrder,points,laps,statusId,total_pitstops,total_pitstop_duration
20904,846,2,4,15,8,4.0,77,11,2,52132
20905,846,22,3,11,9,2.0,77,11,2,51596
20906,846,67,5,16,10,1.0,77,11,2,51118
20907,846,3,131,7,11,0.0,76,12,3,75615
20908,846,814,10,13,12,0.0,76,12,3,91556
20909,846,15,205,18,13,0.0,76,12,2,51660
20910,846,5,205,17,14,0.0,76,12,2,52355
20911,846,816,166,21,15,0.0,75,13,2,54041
20912,846,24,164,23,16,0.0,75,13,1,28298
20913,846,39,164,22,17,0.0,74,14,2,68242
20914,846,813,3,8,18,0.0,73,3,2,52155
20915,846,808,4,10,19,0.0,67,4,1,28856
20916,846,153,5,19,20,0.0,66,4,2,53457
20917,846,13,6,6,21,0.0,32,3,1,26615
20918,846,30,131,5,22,0.0,32,5,1,35084
20919,846,10,166,20,23,0.0,30,22,1,26827
20920,847,18,1,7,1,25.0,70,1,6,141067
20921,847,20,9,1,2,18.0,70,1,3,69356
20922,847,17,9,4,3,15.0,70,1,3,74718
20923,847,30,131,8,4,12.0,70,1,4,94369
20924,847,808,4,10,5,10.0,70,1,2,47961
20925,847,13,6,3,6,8.0,70,1,4,98534
20926,847,155,15,13,7,6.0,70,1,2,48305
20927,847,153,5,24,8,4.0,70,1,3,74246
20928,847,22,3,16,9,2.0,70,1,4,96114
20929,847,67,5,15,10,1.0,70,1,4,99129
20930,847,3,131,6,11,0.0,70,1,4,91528
20931,847,37,15,17,12,0.0,70,1,2,54327
20932,847,24,164,20,13,0.0,69,11,3,95377
20933,847,39,164,22,14,0.0,69,11,2,58655
20934,847,816,166,23,15,0.0,69,11,5,124547
20935,847,10,166,21,16,0.0,69,11,2,49504
20936,847,15,205,18,17,0.0,69,11,3,100156
20937,847,814,10,11,18,0.0,67,3,4,88776
20938,847,813,3,12,19,0.0,61,31,5,127508
20939,847,2,4,9,20,0.0,55,3,2,46477
20940,847,16,10,14,21,0.0,49,3,4,93989
20941,847,4,6,2,22,0.0,36,4,3,76370
20942,847,5,205,19,23,0.0,28,7,1,44037
20944,848,20,9,1,1,25.0,57,1,3,61778
20945,848,4,6,4,2,18.0,57,1,3,62164
20946,848,17,9,2,3,15.0,57,1,3,61151
20947,848,1,1,3,4,12.0,57,1,3,61587
20948,848,13,6,5,5,10.0,57,1,3,66659
20949,848,18,1,6,6,8.0,57,1,3,61801
20950,848,3,131,7,7,6.0,57,1,3,65497
20951,848,153,5,18,8,4.0,56,11,2,42494
20952,848,16,10,10,9,2.0,56,11,3,61998
20953,848,2,4,9,10,1.0,56,11,3,65871
20954,848,815,15,16,11,0.0,56,11,1,21939
20955,848,22,3,13,12,0.0,56,11,3,63711
20956,848,67,5,17,13,0.0,56,11,3,62776
20957,848,814,10,12,14,0.0,56,11,3,62454
20958,848,808,4,11,15,0.0,56,11,3,64377
20959,848,155,15,14,16,0.0,56,11,2,44037
20960,848,30,131,8,17,0.0,56,11,3,73034
20961,848,813,3,15,18,0.0,56,11,3,64596
20962,848,5,205,19,19,0.0,55,12,3,66999
20963,848,15,205,20,20,0.0,55,12,2,45458
20964,848,10,166,21,21,0.0,55,12,2,43930
20965,848,816,166,23,22,0.0,55,12,2,44193
20966,848,24,164,22,23,0.0,54,13,3,69460
20967,848,39,164,24,24,0.0,54,13,3,78764
20968,849,4,6,3,1,25.0,52,1,3,74014
20969,849,20,9,2,2,18.0,52,1,3,79513
20970,849,17,9,1,3,15.0,52,1,3,73248
20971,849,1,1,10,4,12.0,52,1,3,72505
20972,849,13,6,4,5,10.0,52,1,3,71326
20973,849,3,131,9,6,8.0,52,1,2,49121
20974,849,815,15,12,7,6.0,52,1,2,51005
20975,849,2,4,16,8,4.0,52,1,2,49150
